lp_no,square_id,center_lat,center_lon,north,south,east,west,ndvi_mean,ndvi_std,ndbi_mean,ndbi_std,ndwi_mean,ndwi_std,evi_mean,savi_mean,temporal_consistency,quality_score,ndvi_significant,ndbi_significant,ndwi_significant,any_significant
2,1,14.380869910212054,79.52184086344317,14.38115618265904,14.380583637765067,79.52213639758239,79.52154532930398,0.331,0.0873,-0.0391,0.0609,-0.135,0.1345,0,0,1.0,0.797,No,No,No,No
2,2,14.380869910212054,79.5224319317216,14.38115618265904,14.380583637765067,79.5227274658608,79.52213639758239,0.2117,0.1724,-0.0856,0.0405,-0.0152,0.0538,0,0,1.0,0.793,No,No,No,No
2,3,14.380869910212054,79.523023,14.38115618265904,14.380583637765067,79.5233185341392,79.52272746586078,0.3027,0.1145,-0.0366,0.0828,-0.1669,0.1274,0,0,1.0,0.914,No,No,No,No
2,4,14.380869910212054,79.52361406827839,14.38115618265904,14.380583637765067,79.5239096024176,79.5233185341392,0.2877,0.1228,-0.0267,0.0523,-0.1674,0.122,0,0,1.0,0.911,No,No,No,No
2,5,14.380869910212054,79.52420513655682,14.38115618265904,14.380583637765067,79.52450067069601,79.5239096024176,0.3946,0.045,-0.115,0.0457,-0.0966,0.2239,0,0,1.0,0.88,No,No,No,No
2,6,14.381442455106027,79.52184086344317,14.381728727553014,14.38115618265904,79.52213639758239,79.52154532930398,0.2305,0.0657,-0.0299,0.1334,0.0198,0.0158,0,0,1.0,0.883,No,No,Yes,Yes
2,7,14.381442455106027,79.5224319317216,14.381728727553014,14.38115618265904,79.5227274658608,79.52213639758239,0.2955,0.1106,-0.0081,0.1232,-0.1523,0.0784,0,0,1.0,0.835,No,No,No,No
2,8,14.381442455106027,79.523023,14.381728727553014,14.38115618265904,79.5233185341392,79.52272746586078,0.2732,0.1398,0.0668,0.054,-0.1913,0.1411,0,0,1.0,0.9,No,Yes,No,Yes
2,9,14.381442455106027,79.52361406827839,14.381728727553014,14.38115618265904,79.5239096024176,79.5233185341392,0.3886,0.0861,-0.0133,0.1146,-0.1673,0.0785,0,0,1.0,0.932,No,No,No,No
2,10,14.381442455106027,79.52420513655682,14.381728727553014,14.38115618265904,79.52450067069601,79.5239096024176,0.4448,0.1185,0.021,0.1078,-0.0369,0.2081,0,0,1.0,0.885,Yes,Yes,No,Yes
2,11,14.382015,79.52184086344317,14.382301272446988,14.381728727553014,79.52213639758239,79.52154532930398,0.3709,0.2599,-0.1443,0.2164,-0.0846,0.1314,0,0,1.0,0.752,No,No,No,No
2,12,14.382015,79.5224319317216,14.382301272446988,14.381728727553014,79.5227274658608,79.52213639758239,0.3861,0.088,-0.0967,0.1149,-0.1919,0.0998,0,0,1.0,0.798,Yes,No,No,Yes
2,13,14.382015,79.523023,14.382301272446988,14.381728727553014,79.5233185341392,79.52272746586078,0.4188,0.1251,-0.0786,0.0386,-0.1983,0.1707,0,0,1.0,0.739,Yes,No,No,Yes
2,14,14.382015,79.52361406827839,14.382301272446988,14.381728727553014,79.5239096024176,79.5233185341392,0.4971,0.0455,0.0057,0.0592,-0.221,0.1516,0,0,1.0,0.875,Yes,Yes,No,Yes
2,15,14.382015,79.52420513655682,14.382301272446988,14.381728727553014,79.52450067069601,79.5239096024176,0.4303,0.0752,0.0402,0.0782,-0.1772,0.2627,0,0,1.0,0.848,Yes,Yes,No,Yes
2,16,14.382587544893974,79.52184086344317,14.382873817340961,14.382301272446988,79.52213639758239,79.52154532930398,0.4839,0.066,-0.1147,0.0633,-0.1542,0.1313,0,0,1.0,0.837,Yes,No,No,Yes
2,17,14.382587544893974,79.5224319317216,14.382873817340961,14.382301272446988,79.5227274658608,79.52213639758239,0.3497,0.0927,-0.0941,0.0464,-0.226,0.1278,0,0,1.0,0.912,No,No,No,No
2,18,14.382587544893974,79.523023,14.382873817340961,14.382301272446988,79.5233185341392,79.52272746586078,0.3322,0.0785,0.0034,0.0837,-0.1774,0.127,0,0,1.0,0.735,No,Yes,No,Yes
2,19,14.382587544893974,79.52361406827839,14.382873817340961,14.382301272446988,79.5239096024176,79.5233185341392,0.3215,0.084,0.0218,0.0722,-0.0611,0.2337,0,0,1.0,0.819,No,Yes,No,Yes
2,20,14.382587544893974,79.52420513655682,14.382873817340961,14.382301272446988,79.52450067069601,79.5239096024176,0.3728,0.1616,-0.0027,0.0784,-0.091,0.0841,0,0,1.0,0.849,No,No,No,No
