Test_id,plot_no,baseline_date,target_date,land_type
1,97,2024-01-28,2024-04-02,Grassland
2,76,2024-03-14,2023-12-29,Forest
3,48,2024-03-07,2023-12-28,Urban Area
4,78,2024-03-14,2024-01-16,Forest
5,56,2024-04-02,2024-01-19,Urban Area
6,3,2024-02-05,2023-12-26,Agriculture Wet Land
7,96,2024-03-07,2024-02-11,Grassland
8,18,2024-03-30,2024-02-08,Agriculture Wet Land
9,30,2024-04-06,2024-02-09,Agriculture Dry Land
10,98,2024-02-29,2024-04-06,Grassland
11,12,2024-01-24,2024-03-09,Agriculture Wet Land
12,18,2024-03-04,2024-02-05,Agriculture Wet Land
13,54,2024-01-16,2024-02-13,Urban Area
14,79,2024-01-22,2024-01-09,Forest
15,7,2024-04-04,2024-03-09,Agriculture Wet Land
16,74,2024-01-12,2024-04-08,Forest
17,42,2024-03-12,2024-02-11,Urban Area
18,31,2024-01-16,2024-01-13,Agriculture Dry Land
19,34,2024-01-14,2024-03-18,Agriculture Dry Land
20,9,2024-02-29,2024-01-22,Agriculture Wet Land
21,74,2024-03-17,2024-01-14,Forest
22,21,2024-02-24,2024-03-27,Agriculture Dry Land
23,78,2024-03-27,2024-02-05,Forest
24,79,2024-04-02,2024-02-10,Forest
25,40,2023-12-17,2024-03-03,Agriculture Dry Land
26,63,2024-02-18,2024-02-01,Forest
27,68,2024-03-02,2024-04-07,Forest
28,88,2024-01-28,2024-03-28,Grassland
29,91,2024-01-21,2024-01-09,Grassland
30,21,2024-02-04,2024-02-28,Agriculture Dry Land
31,75,2024-03-27,2024-01-24,Forest
32,16,2024-04-09,2023-12-31,Agriculture Wet Land
33,3,2023-12-30,2024-03-29,Agriculture Wet Land
34,45,2024-01-15,2024-03-27,Urban Area
35,73,2024-01-09,2024-03-11,Forest
36,36,2024-04-07,2024-01-03,Agriculture Dry Land
37,51,2024-03-24,2023-12-22,Urban Area
38,12,2024-03-04,2024-04-08,Agriculture Wet Land
39,56,2024-03-24,2024-01-20,Urban Area
40,20,2024-02-08,2024-01-03,Agriculture Wet Land
41,96,2023-12-24,2024-04-14,Grassland
42,57,2024-03-03,2024-04-03,Urban Area
43,64,2024-03-03,2024-03-22,Forest
44,40,2024-03-22,2024-01-07,Agriculture Dry Land
45,28,2024-04-03,2024-03-02,Agriculture Dry Land
46,7,2024-03-17,2024-01-21,Agriculture Wet Land
47,35,2023-12-26,2024-04-15,Agriculture Dry Land
48,18,2024-01-29,2024-02-25,Agriculture Wet Land
49,91,2024-01-23,2024-04-11,Grassland
50,29,2024-04-06,2024-01-16,Agriculture Dry Land
51,35,2024-03-06,2024-01-16,Agriculture Dry Land
52,59,2024-03-27,2024-03-06,Urban Area
53,42,2024-03-17,2023-12-21,Urban Area
54,84,2024-01-24,2024-01-04,Grassland
55,58,2024-03-26,2024-02-09,Urban Area
56,65,2024-01-24,2024-04-11,Forest
57,94,2024-03-29,2024-02-27,Grassland
58,53,2024-02-04,2024-04-13,Urban Area
59,4,2024-04-15,2023-12-25,Agriculture Wet Land
60,41,2024-01-12,2024-03-10,Urban Area
61,20,2023-12-26,2024-01-24,Agriculture Wet Land
62,90,2024-02-05,2023-12-29,Grassland
63,6,2024-03-28,2024-01-07,Agriculture Wet Land
64,37,2024-01-30,2023-12-21,Agriculture Dry Land
65,2,2024-02-21,2024-03-17,Agriculture Wet Land
66,11,2023-12-30,2024-02-20,Agriculture Wet Land
67,77,2024-02-04,2024-03-21,Forest
68,87,2024-03-17,2024-01-17,Grassland
69,85,2024-02-01,2024-04-12,Grassland
70,18,2024-01-22,2024-03-06,Agriculture Wet Land
71,14,2024-04-02,2024-02-08,Agriculture Wet Land
72,21,2024-02-25,2023-12-20,Agriculture Dry Land
73,21,2023-12-26,2024-01-27,Agriculture Dry Land
74,18,2024-01-03,2024-02-22,Agriculture Wet Land
75,15,2024-02-04,2024-03-14,Agriculture Wet Land
76,8,2024-01-28,2024-01-06,Agriculture Wet Land
77,3,2023-12-22,2024-02-22,Agriculture Wet Land
78,80,2024-04-11,2024-03-14,Forest
79,63,2024-03-02,2024-04-01,Forest
80,48,2024-04-12,2024-01-15,Urban Area
81,35,2024-02-20,2024-01-28,Agriculture Dry Land
82,66,2024-01-18,2024-04-14,Forest
83,40,2024-02-13,2024-03-22,Agriculture Dry Land
84,79,2024-02-02,2024-01-13,Forest
85,44,2024-01-30,2023-12-23,Urban Area
86,52,2024-04-01,2024-03-11,Urban Area
87,47,2024-01-04,2024-04-07,Urban Area
88,50,2024-01-29,2024-01-15,Urban Area
89,38,2024-03-25,2024-01-11,Agriculture Dry Land
90,62,2024-03-12,2024-04-15,Forest
91,9,2024-01-16,2024-01-06,Agriculture Wet Land
92,3,2023-12-18,2024-01-22,Agriculture Wet Land
93,32,2024-02-26,2024-02-14,Agriculture Dry Land
94,13,2023-12-22,2024-03-16,Agriculture Wet Land
95,23,2024-02-15,2024-02-07,Agriculture Dry Land
96,81,2024-03-25,2024-02-07,Grassland
97,49,2024-03-13,2024-03-27,Urban Area
98,79,2024-03-19,2023-12-24,Forest
99,35,2024-01-28,2023-12-31,Agriculture Dry Land
100,3,2024-03-03,2024-02-08,Agriculture Wet Land
