Test_id,plot_no,baseline_date,target_date,land_type,scenario
1,14,2024-01-11,2024-04-04,Agriculture Wet Land,Agriculture monitoring
2,23,2024-01-31,2024-03-13,Agriculture Dry Land,Agriculture monitoring
3,25,2023-12-28,2024-03-21,Agriculture Dry Land,Agriculture monitoring
4,21,2023-12-19,2024-03-13,Agriculture Dry Land,Agriculture monitoring
5,16,2024-01-14,2024-03-17,Agriculture Wet Land,Agriculture monitoring
6,14,2024-01-17,2024-02-27,Agriculture Wet Land,Agriculture monitoring
7,18,2024-01-23,2024-04-03,Agriculture Wet Land,Agriculture monitoring
8,23,2024-01-20,2024-03-06,Agriculture Dry Land,Agriculture monitoring
9,17,2024-01-31,2024-02-24,Agriculture Wet Land,Agriculture monitoring
10,19,2024-01-30,2024-03-07,Agriculture Wet Land,Agriculture monitoring
11,31,2024-01-07,2024-02-22,Agriculture Dry Land,Agriculture monitoring
12,26,2024-01-06,2024-03-10,Agriculture Dry Land,Agriculture monitoring
13,3,2024-01-03,2024-03-10,Agriculture Wet Land,Agriculture monitoring
14,39,2024-02-01,2024-03-04,Agriculture Dry Land,Agriculture monitoring
15,26,2024-01-09,2024-02-27,Agriculture Dry Land,Agriculture monitoring
16,14,2024-01-15,2024-03-31,Agriculture Wet Land,Agriculture monitoring
17,15,2024-02-11,2024-03-27,Agriculture Wet Land,Agriculture monitoring
18,3,2024-01-06,2024-02-21,Agriculture Wet Land,Agriculture monitoring
19,30,2024-01-21,2024-03-10,Agriculture Dry Land,Agriculture monitoring
20,9,2024-01-14,2024-03-10,Agriculture Wet Land,Agriculture monitoring
21,21,2023-12-23,2024-03-14,Agriculture Dry Land,Agriculture monitoring
22,29,2024-01-17,2024-03-01,Agriculture Dry Land,Agriculture monitoring
23,5,2024-01-17,2024-03-04,Agriculture Wet Land,Agriculture monitoring
24,2,2024-01-28,2024-03-22,Agriculture Wet Land,Agriculture monitoring
25,29,2024-01-24,2024-03-08,Agriculture Dry Land,Agriculture monitoring
26,31,2024-02-09,2024-03-01,Agriculture Dry Land,Agriculture monitoring
27,19,2024-02-05,2024-03-27,Agriculture Wet Land,Agriculture monitoring
28,13,2024-02-01,2024-03-04,Agriculture Wet Land,Agriculture monitoring
29,34,2024-01-08,2024-03-03,Agriculture Dry Land,Agriculture monitoring
30,32,2024-01-02,2024-03-11,Agriculture Dry Land,Agriculture monitoring
31,11,2024-01-09,2024-03-25,Agriculture Wet Land,Agriculture monitoring
32,6,2024-01-26,2024-03-14,Agriculture Wet Land,Agriculture monitoring
33,12,2024-01-28,2024-03-14,Agriculture Wet Land,Agriculture monitoring
34,13,2024-01-02,2024-03-26,Agriculture Wet Land,Agriculture monitoring
35,37,2024-01-12,2024-02-27,Agriculture Dry Land,Agriculture monitoring
36,17,2024-01-18,2024-03-04,Agriculture Wet Land,Agriculture monitoring
37,8,2024-01-17,2024-04-07,Agriculture Wet Land,Agriculture monitoring
38,39,2024-01-05,2024-02-23,Agriculture Dry Land,Agriculture monitoring
