test_id,plot_no,baseline_date,target_date,ndvi_baseline,ndbi_baseline,ndwi_baseline,ndvi_target,ndbi_target,ndwi_target,delta_ndvi,delta_ndbi,delta_ndwi,vegetation_rule,construction_rule,flooding_rule,vegetation_inference,construction_inference,flood_inference
1,97,2024-01-31,2024-03-31,0.22,0.59,0.17,0.18,0.66,0.21,0.04000000000000001,-0.07000000000000006,-0.03999999999999998,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,No Change,Slight Change - Decreased,No Change
2,76,2024-03-01,2024-01-01,1.0,0.0,0.63,0.87,0.04,0.39,0.13,-0.04,0.24,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,Slight Change - Increased,No Change,Moderate Change - Increased
3,48,2024-03-01,2024-01-01,0.49,0.23,0.03,0.22,0.32,0.21,0.27,-0.09,-0.18,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,Moderate Change - Increased,Slight Change - Decreased,Moderate Change - Decreased
4,78,2024-03-01,2024-01-01,1.0,0.0,0.39,0.73,0.03,0.5,0.27,-0.03,-0.10999999999999999,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,Moderate Change - Increased,No Change,Slight Change - Decreased
5,56,2024-03-31,2024-01-31,0.0,0.4,0.57,0.0,0.37,0.62,0.0,0.030000000000000027,-0.050000000000000044,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,No Change,No Change,Slight Change - Decreased
6,3,2024-01-31,2024-01-01,0.67,0.28,0.37,0.53,0.06,0.51,0.14,0.22000000000000003,-0.14,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,Slight Change - Increased,Moderate Change - Increased,Slight Change - Decreased
7,96,2024-03-01,2024-01-31,0.73,0.01,0.15,0.72,0.0,0.17,0.010000000000000009,0.01,-0.020000000000000018,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,No Change,No Change,No Change
8,18,2024-03-31,2024-01-31,1.0,0.01,0.24,1.0,0.0,0.32,0.0,0.01,-0.08000000000000002,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,No Change,No Change,Slight Change - Decreased
9,30,2024-03-31,2024-01-31,0.76,0.09,0.12,0.9,0.13,0.14,-0.14,-0.04000000000000001,-0.020000000000000018,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,Slight Change - Decreased,No Change,No Change
10,98,2024-03-01,2024-03-31,0.17,0.05,0.61,0.17,0.03,0.61,0.0,0.020000000000000004,0.0,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,No Change,No Change,No Change
